Date,Open,High,Low,Close,Adj Close,Volume
2024-01-05,27.090000,27.565001,27.000000,27.440001,26.484854,16455800
2024-01-08,27.525000,27.740000,27.389999,27.674999,26.711672,18107600
2024-01-09,27.545000,27.575001,27.139999,27.260000,26.311119,15367600
2024-01-10,27.084999,27.334999,27.084999,27.215000,26.267683,9878600
2024-01-11,27.200001,27.424999,27.110001,27.400000,26.446245,13486200
2024-01-12,27.400000,27.600000,27.155001,27.559999,26.600674,10126600
2024-01-15,27.549999,28.100000,27.500000,28.100000,27.121880,16827600
2024-01-16,27.980000,28.235001,27.885000,27.940001,26.967449,17944400
2024-01-17,27.905001,28.049999,27.815001,27.995001,27.020535,19366200
2024-01-18,28.025000,28.055000,27.629999,27.670000,26.706848,14648800
2024-01-19,27.764999,28.174999,27.639999,27.959999,26.986750,25325000
2024-01-22,28.035000,28.065001,27.680000,27.775000,26.808189,13091400
2024-01-23,27.905001,28.295000,27.775000,28.270000,27.285959,20134400
2024-01-24,28.340000,28.520000,28.219999,28.325001,27.339048,13342600
2024-01-25,28.375000,28.500000,28.264999,28.290001,27.305265,12011200
2024-01-26,28.320000,28.495001,28.275000,28.485001,27.493477,16392200
2024-01-29,28.480000,28.514999,28.030001,28.260000,27.276310,11264600
2024-01-30,28.245001,28.250000,27.975000,28.115000,27.136356,11859800
2024-01-31,28.200001,28.420000,28.059999,28.225000,27.242527,13112000
2024-02-01,28.225000,28.870001,28.150000,28.870001,27.865076,22648600
2024-02-02,28.850000,28.934999,28.570000,28.860001,27.855425,14969000
2024-02-05,28.865000,29.170000,28.674999,29.170000,28.154633,15148800
2024-02-06,29.209999,29.865000,29.200001,29.799999,28.762703,16578000
2024-02-07,29.785000,29.900000,29.334999,29.719999,28.685488,16353000
2024-02-08,29.730000,29.865000,29.129999,29.270000,28.251152,21199200
2024-02-09,29.250000,29.290001,27.650000,28.785000,27.783033,48132000
2024-02-14,28.680000,29.190001,28.540001,29.174999,28.159458,17196600
2024-02-15,29.174999,29.295000,29.004999,29.180000,28.164284,16017200
2024-02-16,29.290001,29.400000,28.705000,28.934999,27.927813,19018800
2024-02-19,28.959999,29.525000,28.799999,29.459999,28.434536,18263600
2024-02-20,29.430000,29.955000,29.370001,29.650000,28.617926,36826400
2024-02-21,29.660000,29.795000,29.530001,29.719999,28.685488,45832200
2024-02-22,29.344999,29.379999,28.959999,29.049999,28.144957,19798400
2024-02-23,29.065001,29.129999,28.570000,28.690001,27.796175,20556200
2024-02-26,28.705000,29.094999,28.625000,28.965000,28.062607,13441800
2024-02-27,29.094999,29.375000,29.000000,29.315001,28.401703,13960200
2024-02-28,29.290001,29.570000,29.205000,29.375000,28.459833,12335000
2024-02-29,29.375000,29.459999,28.850000,28.930000,28.028698,20423600
2024-03-01,28.975000,29.180000,28.915001,28.959999,28.057762,10255800
2024-03-04,29.010000,29.105000,28.735001,28.840000,27.941502,12990200
2024-03-05,28.900000,29.184999,28.844999,29.040001,28.135271,9412000
2024-03-06,29.110001,29.504999,29.049999,29.469999,28.551872,12482600
2024-03-07,29.469999,29.555000,29.125000,29.190001,28.280598,14857800
2024-03-08,28.504999,29.084999,28.014999,28.905001,28.004477,40005000
2024-03-11,28.850000,28.850000,28.450001,28.615000,27.723509,25163800
2024-03-12,28.504999,29.055000,28.315001,28.799999,28.104105,22722000
2024-03-13,28.754999,28.870001,28.440001,28.480000,27.791836,20799400
2024-03-14,28.475000,28.674999,28.295000,28.355000,27.669857,20707800
2024-03-15,28.410000,28.760000,28.385000,28.645000,27.952850,28391400
2024-03-18,28.650000,28.889999,27.910000,28.014999,27.338072,22635600
2024-03-19,28.120001,28.215000,27.565001,27.915001,27.240490,20241800
2024-03-20,27.915001,28.250000,27.705000,28.215000,27.533239,17687400
2024-03-21,28.299999,28.500000,27.730000,27.820000,27.147783,17742000
2024-03-22,27.834999,27.990000,27.625000,27.705000,27.035563,13137600
2024-03-25,27.715000,28.065001,27.635000,27.815001,27.142906,12901400
2024-03-26,27.844999,28.215000,27.760000,27.965000,27.289280,15477000
2024-03-27,28.084999,28.120001,27.670000,27.985001,27.308798,15874600
2024-03-28,27.879999,28.440001,27.825001,28.309999,27.625944,17073600
2024-04-01,28.350000,28.459999,27.855000,28.040001,27.362471,10910800
2024-04-02,28.025000,28.170000,27.885000,28.084999,27.406380,10513000
2024-04-03,28.045000,28.320000,27.825001,28.195000,27.513723,14600800
2024-04-04,28.275000,28.975000,28.275000,28.385000,27.699133,23352000
2024-04-05,28.450001,28.540001,28.225000,28.504999,27.816233,12803800
2024-04-08,28.750000,29.420000,28.629999,28.950001,28.250481,19696000
2024-04-09,29.125000,29.385000,29.090000,29.195000,28.489561,9392800
2024-04-10,29.170000,29.250000,28.665001,28.799999,28.104105,14139800
2024-04-11,28.750000,29.035000,28.670000,28.870001,28.172413,12447600
2024-04-12,28.870001,28.924999,28.410000,28.495001,27.806475,11304400
2024-04-15,28.629999,28.670000,28.105000,28.230000,27.547876,14411400
2024-04-16,28.230000,28.400000,27.540001,27.910000,27.235611,22923700
2024-04-17,28.000000,28.170000,27.780001,27.969999,27.294159,17703800
2024-04-18,28.150000,28.230000,27.700001,27.930000,27.255129,15349100
2024-04-19,28.020000,28.020000,27.660000,27.709999,27.040442,18465200
2024-04-22,27.799999,28.049999,27.240000,27.389999,26.728174,21288500
2024-04-23,27.370001,27.730000,27.010000,27.600000,26.933102,21742700
2024-04-24,27.600000,27.670000,27.379999,27.500000,26.835518,11037800
